matchid,me,you,won,yourDead,myDead
battle-randombattle-192,mallis,elitefourdiantha,true,6,4
battle-randombattle-193,elitefourdiantha,mallis,true,6,4
battle-randombattle-193,mallis,elitefourdiantha,false,4,6
battle-randombattle-194,elitefourdiantha,mallis,true,6,3
battle-randombattle-194,mallis,elitefourdiantha,false,3,6
battle-randombattle-195,mallis,elitefourdiantha,true,6,4
battle-randombattle-195,elitefourdiantha,mallis,false,4,6
battle-randombattle-196,elitefourdiantha,mallis,false,4,6
battle-randombattle-196,mallis,elitefourdiantha,true,6,4
battle-randombattle-197,elitefourdiantha,mallis,true,6,5
battle-randombattle-197,mallis,elitefourdiantha,false,5,6
battle-randombattle-198,elitefourdiantha,mallis,false,4,6
battle-randombattle-198,mallis,elitefourdiantha,true,6,4
battle-randombattle-199,elitefourdiantha,mallis,false,1,6
battle-randombattle-199,mallis,elitefourdiantha,true,6,1
battle-randombattle-200,elitefourdiantha,mallis,false,4,6
battle-randombattle-200,mallis,elitefourdiantha,true,6,4
battle-randombattle-201,elitefourdiantha,mallis,false,4,6
battle-randombattle-201,mallis,elitefourdiantha,true,6,4
battle-randombattle-202,elitefourdiantha,mallis,false,3,6
battle-randombattle-202,mallis,elitefourdiantha,true,6,3
battle-randombattle-203,elitefourdiantha,mallis,false,4,6
battle-randombattle-203,mallis,elitefourdiantha,true,6,4
battle-randombattle-204,elitefourdiantha,mallis,false,2,6
battle-randombattle-204,mallis,elitefourdiantha,true,6,2
battle-randombattle-205,elitefourdiantha,mallis,false,4,6
battle-randombattle-205,mallis,elitefourdiantha,true,6,4
battle-randombattle-206,elitefourdrasnax,mallis,false,5,6
battle-randombattle-206,mallis,elitefourdrasnax,true,6,5
battle-randombattle-207,elitefourdrasnax,mallis,false,3,6
battle-randombattle-207,mallis,elitefourdrasnax,true,6,3
battle-randombattle-208,elitefourdrasnax,mallis,false,5,6
battle-randombattle-208,mallis,elitefourdrasnax,true,6,5
battle-randombattle-209,elitefourdrasnax,mallis,false,2,6
battle-randombattle-209,mallis,elitefourdrasnax,true,6,2
battle-randombattle-210,elitefourdrasnax,mallis,false,2,6
battle-randombattle-210,mallis,elitefourdrasnax,true,6,2
battle-randombattle-211,elitefourdrasnax,mallis,true,6,3
battle-randombattle-211,mallis,elitefourdrasnax,false,3,6
battle-randombattle-212,elitefourdrasnax,mallis,false,5,6
battle-randombattle-212,mallis,elitefourdrasnax,true,6,5
battle-randombattle-213,elitefourdrasnax,mallis,true,6,3
battle-randombattle-213,mallis,elitefourdrasnax,false,3,6
battle-randombattle-214,elitefourdrasnax,mallis,false,4,6
battle-randombattle-214,mallis,elitefourdrasnax,true,6,4
battle-randombattle-215,elitefourdrasnax,mallis,true,6,4
battle-randombattle-215,mallis,elitefourdrasnax,false,4,6
battle-randombattle-216,elitefourdrasnax,mallis,false,5,6
battle-randombattle-216,mallis,elitefourdrasnax,true,6,5
battle-randombattle-217,mallis,elitefourdrasnax,true,6,4
battle-randombattle-217,elitefourdrasnax,mallis,false,4,6
battle-randombattle-218,mallis,elitefourdrasnax,false,3,6
battle-randombattle-218,elitefourdrasnax,mallis,true,6,3
battle-randombattle-219,elitefourdrasnax,mallis,false,2,6
battle-randombattle-219,mallis,elitefourdrasnax,true,6,2
battle-randombattle-220,elitefourdrasnax,mallis,true,6,4
battle-randombattle-220,mallis,elitefourdrasnax,false,4,6
battle-randombattle-221,elitefourdrasnax,mallis,false,4,6
battle-randombattle-221,mallis,elitefourdrasnax,true,6,4
battle-randombattle-222,elitefourdrasnax,mallis,true,6,5
battle-randombattle-222,mallis,elitefourdrasnax,false,5,6
battle-randombattle-223,elitefourdrasnax,mallis,false,3,6
battle-randombattle-223,mallis,elitefourdrasnax,true,6,3
battle-randombattle-224,elitefourdrasnax,mallis,false,3,6
battle-randombattle-224,mallis,elitefourdrasnax,true,6,3
battle-randombattle-226,elitefourdrasnax,mallis,false,5,6
battle-randombattle-226,mallis,elitefourdrasnax,true,6,5
battle-randombattle-227,elitefourdrasnax,mallis,true,6,4
battle-randombattle-227,mallis,elitefourdrasnax,false,4,6
battle-randombattle-228,elitefourdrasnax,mallis,false,4,6
battle-randombattle-228,mallis,elitefourdrasnax,true,6,4
battle-randombattle-229,elitefourdrasnax,mallis,false,3,6
battle-randombattle-229,mallis,elitefourdrasnax,true,6,3
battle-randombattle-230,elitefourdrasnax,mallis,false,2,6
battle-randombattle-230,mallis,elitefourdrasnax,true,6,2
battle-randombattle-231,elitefourdrasnax,mallis,false,3,6
battle-randombattle-231,mallis,elitefourdrasnax,true,6,3
battle-randombattle-232,elitefourdrasnax,mallis,false,5,6
battle-randombattle-232,mallis,elitefourdrasnax,true,6,5
battle-randombattle-233,elitefourdrasnax,mallis,false,5,6
battle-randombattle-233,mallis,elitefourdrasnax,true,6,5
battle-randombattle-234,elitefourdrasnax,mallis,false,3,6
battle-randombattle-234,mallis,elitefourdrasnax,true,6,3
battle-randombattle-235,elitefourdrasnax,mallis,false,4,6
battle-randombattle-235,mallis,elitefourdrasnax,true,6,4
battle-randombattle-236,elitefourdrasnax,mallis,false,5,6
battle-randombattle-236,mallis,elitefourdrasnax,true,6,5
battle-randombattle-237,elitefourdrasnax,mallis,false,3,6
battle-randombattle-237,mallis,elitefourdrasnax,true,6,3
battle-randombattle-238,elitefourdrasnax,mallis,false,5,6
battle-randombattle-238,mallis,elitefourdrasnax,true,6,5
battle-randombattle-239,elitefourdrasnax,mallis,true,6,3
battle-randombattle-239,mallis,elitefourdrasnax,false,3,6
battle-randombattle-240,elitefourdrasnax,mallis,true,6,5
battle-randombattle-240,mallis,elitefourdrasnax,false,5,6
battle-randombattle-241,elitefourdrasnax,mallis,true,6,5
battle-randombattle-241,mallis,elitefourdrasnax,false,5,6
battle-randombattle-242,elitefourdrasnax,mallis,false,3,6
battle-randombattle-242,mallis,elitefourdrasnax,true,6,3
battle-randombattle-243,elitefourdrasnax,mallis,false,4,6
battle-randombattle-243,mallis,elitefourdrasnax,true,6,4
battle-randombattle-245,elitefourdrasnax,mallis,false,5,6
battle-randombattle-245,mallis,elitefourdrasnax,true,6,5
battle-randombattle-246,elitefourdrasnax,mallis,false,4,6
battle-randombattle-246,mallis,elitefourdrasnax,true,6,4
battle-randombattle-247,elitefourdrasnax,mallis,false,5,6
battle-randombattle-247,mallis,elitefourdrasnax,true,6,5
battle-randombattle-248,elitefourdrasnax,mallis,true,6,4
battle-randombattle-248,mallis,elitefourdrasnax,false,4,6
battle-randombattle-251,elitefourdrasnax,mallis,false,3,6
battle-randombattle-251,mallis,elitefourdrasnax,true,6,3
battle-randombattle-252,elitefourdrasnax,mallis,true,6,5
battle-randombattle-252,mallis,elitefourdrasnax,false,5,6
battle-randombattle-253,elitefourdrasnax,mallis,false,4,6
battle-randombattle-253,mallis,elitefourdrasnax,true,6,4
battle-randombattle-254,elitefourdrasnax,mallis,false,4,6
battle-randombattle-254,mallis,elitefourdrasnax,true,6,4
battle-randombattle-255,elitefourdrasnax,mallis,false,3,6
battle-randombattle-255,mallis,elitefourdrasnax,true,6,3
battle-randombattle-256,mallis,elitefourdrasnax,true,6,4
battle-randombattle-256,elitefourdrasnax,mallis,false,4,6
battle-randombattle-257,elitefourdrasnax,mallis,false,4,6
battle-randombattle-257,mallis,elitefourdrasnax,true,6,4
battle-randombattle-258,elitefourdrasnax,mallis,true,6,4
battle-randombattle-258,mallis,elitefourdrasnax,false,4,6
battle-randombattle-259,elitefourdrasnax,mallis,false,2,6
battle-randombattle-259,mallis,elitefourdrasnax,true,6,2
battle-randombattle-260,larandumb,mallis,false,2,6
battle-randombattle-260,mallis,larandumb,true,6,2
battle-randombattle-261,larandumb,mallis,false,2,6
battle-randombattle-261,mallis,larandumb,true,6,2
battle-randombattle-262,larandumb,mallis,true,6,3
battle-randombattle-262,mallis,larandumb,false,3,6
battle-randombattle-263,mallis,elitefourdiantha,true,6,5
battle-randombattle-263,elitefourdiantha,mallis,false,5,6
battle-randombattle-264,elitefourdiantha,mallis,true,6,2
battle-randombattle-264,mallis,elitefourdiantha,false,2,6
battle-randombattle-265,elitefourdiantha,mallis,true,6,4
battle-randombattle-265,mallis,elitefourdiantha,false,4,6
battle-randombattle-266,larandumb,mallis,false,4,6
battle-randombattle-266,mallis,larandumb,true,6,4
battle-randombattle-268,larandumb,mallis,false,3,6
battle-randombattle-268,mallis,larandumb,true,6,3
battle-randombattle-269,mallis,larandumb,true,6,3
battle-randombattle-269,larandumb,mallis,false,3,6
battle-randombattle-270,larandumb,mallis,true,6,5
battle-randombattle-270,mallis,larandumb,false,5,6
battle-randombattle-271,larandumb,mallis,false,3,6
battle-randombattle-271,mallis,larandumb,true,6,3
battle-randombattle-272,larandumb,mallis,false,4,6
battle-randombattle-272,mallis,larandumb,true,6,4
battle-randombattle-273,larandumb,mallis,true,6,4
battle-randombattle-273,mallis,larandumb,false,4,6
battle-randombattle-274,larandumb,mallis,false,2,6
battle-randombattle-274,mallis,larandumb,true,6,2
battle-randombattle-275,larandumb,mallis,false,6,6
battle-randombattle-275,mallis,larandumb,true,6,6
battle-randombattle-276,larandumb,mallis,true,6,5
battle-randombattle-276,mallis,larandumb,false,5,6
battle-randombattle-277,larandumb,mallis,false,3,6
battle-randombattle-277,mallis,larandumb,true,6,3
battle-randombattle-278,larandumb,mallis,true,6,3
battle-randombattle-278,mallis,larandumb,false,3,6
battle-randombattle-279,larandumb,mallis,true,6,5
battle-randombattle-279,mallis,larandumb,false,5,6
battle-randombattle-281,larandumb,mallis,false,4,6
battle-randombattle-281,mallis,larandumb,true,6,4
battle-randombattle-287,larandumb,mallis,true,6,4
battle-randombattle-287,mallis,larandumb,false,4,6
battle-randombattle-288,mallis,larandumb,true,6,2
battle-randombattle-288,larandumb,mallis,false,2,6
battle-randombattle-290,larandumb,mallis,false,3,6
battle-randombattle-290,mallis,larandumb,true,6,3
battle-randombattle-291,larandumb,mallis,true,6,3
battle-randombattle-291,mallis,larandumb,false,3,6
battle-randombattle-294,larandumb,mallis,true,6,4
battle-randombattle-294,mallis,larandumb,false,4,6
battle-randombattle-295,larandumb,mallis,false,3,6
battle-randombattle-295,mallis,larandumb,true,6,3
battle-randombattle-296,larandumb,mallis,false,4,6
battle-randombattle-296,mallis,larandumb,true,6,4
battle-randombattle-297,larandumb,mallis,false,3,6
battle-randombattle-297,mallis,larandumb,true,6,3
battle-randombattle-298,larandumb,mallis,false,5,6
battle-randombattle-298,mallis,larandumb,true,6,5
battle-randombattle-299,larandumb,mallis,false,5,6
battle-randombattle-299,mallis,larandumb,true,6,5
battle-randombattle-300,larandumb,mallis,false,2,6
battle-randombattle-300,mallis,larandumb,true,6,2
battle-randombattle-301,larandumb,mallis,true,6,5
battle-randombattle-301,mallis,larandumb,false,5,6
battle-randombattle-302,larandumb,mallis,false,2,6
battle-randombattle-302,mallis,larandumb,true,6,2
battle-randombattle-303,larandumb,mallis,true,6,5
battle-randombattle-303,mallis,larandumb,false,5,6
battle-randombattle-304,larandumb,mallis,true,6,4
battle-randombattle-304,mallis,larandumb,false,4,6
battle-randombattle-305,larandumb,mallis,true,6,4
battle-randombattle-305,mallis,larandumb,false,4,6
battle-randombattle-306,larandumb,mallis,false,4,6
battle-randombattle-306,mallis,larandumb,true,6,4
battle-randombattle-307,larandumb,mallis,false,4,6
battle-randombattle-307,mallis,larandumb,true,6,4
battle-randombattle-308,larandumb,mallis,false,3,6
battle-randombattle-308,mallis,larandumb,true,6,3
battle-randombattle-309,larandumb,mallis,true,6,3
battle-randombattle-309,mallis,larandumb,false,3,6
battle-randombattle-310,larandumb,mallis,false,3,6
battle-randombattle-310,mallis,larandumb,true,6,3
battle-randombattle-311,larandumb,mallis,true,6,5
